Tracking_ID,HG19en82 Chromosome,HG19en82 Gene Start (bp),HG19en82 Gene End (bp),HG19en82 Gene Length,HG19en82 Strand,HG19en82 % GC Content,HG19en82 Cytoband,HG19en82 Gene Biotype,HG19en82 Gene Name,HG19en82 Description
ENSG00000072571,chr5,162887209,162918947,3932,+,36.98,q34,protein_coding,HMMR,hyaluronan-mediated motility receptor (RHAMM) [Source:HGNC Symbol;Acc:5012]
ENSG00000137337,chr6,30667584,30685666,8064,-,48.84,p21.33,protein_coding,MDC1,mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:21163]
ENSG00000119865,chr2,68511303,68547183,3548,-,40.04,p14,protein_coding,CNRIP1,cannabinoid receptor interacting protein 1 [Source:HGNC Symbol;Acc:24546]
ENSG00000105669,chr19,19010323,19030206,2885,-,57.06,p13.11,protein_coding,COPE,"coatomer protein complex, subunit epsilon [Source:HGNC Symbol;Acc:2234]"
ENSG00000108798,chr17,47287589,47300587,2456,+,54.13,q21.32,protein_coding,ABI3,"ABI family, member 3 [Source:HGNC Symbol;Acc:29859]"
ENSG00000108924,chr17,53342373,53402426,6602,+,43.3,q22,protein_coding,HLF,hepatic leukemia factor [Source:HGNC Symbol;Acc:4977]
ENSG00000114988,chr2,97371666,97405801,2709,-,44.97,q11.2,protein_coding,LMAN2L,"lectin, mannose-binding 2-like [Source:HGNC Symbol;Acc:19263]"
ENSG00000108239,chr10,96162261,96295687,6921,+,38.55,q23.33,protein_coding,TBC1D12,"TBC1 domain family, member 12 [Source:HGNC Symbol;Acc:29082]"
ENSG00000106246,chr7,99014362,99063787,5914,-,53.4,q22.1,protein_coding,PTCD1,pentatricopeptide repeat domain 1 [Source:HGNC Symbol;Acc:22198]
ENSG00000103742,chr15,65673802,65715410,7764,-,51.89,q22.31,protein_coding,IGDCC4,"immunoglobulin superfamily, DCC subclass, member 4 [Source:HGNC Symbol;Acc:13770]"
ENSG00000160972,chr8,145703352,145727504,5414,+,57.4,q24.3,protein_coding,PPP1R16A,"protein phosphatase 1, regulatory subunit 16A [Source:HGNC Symbol;Acc:14941]"
ENSG00000085999,chr1,46713360,46744145,3212,+,46.5,p34.1,protein_coding,RAD54L,RAD54-like (S. cerevisiae) [Source:HGNC Symbol;Acc:9826]
ENSG00000166192,chr15,72406599,72433311,2289,+,40.77,q23,protein_coding,SENP8,SUMO/sentrin specific peptidase family member 8 [Source:HGNC Symbol;Acc:22992]
ENSG00000154813,chr3,16299485,16306479,3562,-,40.8,p25.1,protein_coding,DPH3,diphthamide biosynthesis 3 [Source:HGNC Symbol;Acc:27717]
ENSG00000127528,chr19,16435628,16438685,2018,+,65.53,p13.11,protein_coding,KLF2,Kruppel-like factor 2 [Source:HGNC Symbol;Acc:6347]
ENSG00000138107,chr10,104238986,104262482,4341,-,48.85,q24.32,protein_coding,ACTR1A,"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast) [Source:HGNC Symbol;Acc:167]"
ENSG00000188779,chr15,68112042,68126899,4479,+,60.14,q23,protein_coding,SKOR1,SKI family transcriptional corepressor 1 [Source:HGNC Symbol;Acc:21326]
ENSG00000196628,chr18,52889562,53332018,22377,-,37.78,q21.2,protein_coding,TCF4,transcription factor 4 [Source:HGNC Symbol;Acc:11634]
ENSG00000129007,chr15,68483043,68498417,5007,-,50.67,q23,protein_coding,CALML4,calmodulin-like 4 [Source:HGNC Symbol;Acc:18445]
ENSG00000131051,chr20,34291531,34330234,9307,-,40.14,q11.22,protein_coding,RBM39,RNA binding motif protein 39 [Source:HGNC Symbol;Acc:15923]
ENSG00000116254,chr1,6161853,6240183,9890,-,56.7,p36.31,protein_coding,CHD5,chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:16816]
ENSG00000186051,chr9,108424738,108425367,630,+,53.33,q31.2,protein_coding,TAL2,T-cell acute lymphocytic leukemia 2 [Source:HGNC Symbol;Acc:11557]
ENSG00000197019,chr19,40927499,40931932,2114,-,52.55,q13.2,protein_coding,SERTAD1,SERTA domain containing 1 [Source:HGNC Symbol;Acc:17932]
ENSG00000183155,chr1,202848085,202858263,2430,-,45.67,q32.1,protein_coding,RABIF,RAB interacting factor [Source:HGNC Symbol;Acc:9797]
ENSG00000198863,chr17,41132582,41145707,4757,+,47.47,q21.31,protein_coding,RUNDC1,RUN domain containing 1 [Source:HGNC Symbol;Acc:25418]
ENSG00000164039,chr4,104000592,104021040,3383,-,38.56,q24,protein_coding,BDH2,"3-hydroxybutyrate dehydrogenase, type 2 [Source:HGNC Symbol;Acc:32389]"
ENSG00000166246,chr16,4784273,4799397,3977,+,52.73,p13.3,protein_coding,C16orf71,chromosome 16 open reading frame 71 [Source:HGNC Symbol;Acc:25081]
ENSG00000196118,chr16,30768744,30774031,3081,-,54.9,p11.2,protein_coding,C16orf93,chromosome 16 open reading frame 93 [Source:HGNC Symbol;Acc:28078]
ENSG00000105204,chr19,40315990,40324841,3192,-,57.17,q13.2,protein_coding,DYRK1B,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B [Source:HGNC Symbol;Acc:3092]
ENSG00000183255,chr21,46269500,46293752,3471,-,50.96,q22.3,protein_coding,PTTG1IP,pituitary tumor-transforming 1 interacting protein [Source:HGNC Symbol;Acc:13524]
ENSG00000147036,chrX,37430822,37543716,10298,+,38.9,p21.1,protein_coding,LANCL3,LanC lantibiotic synthetase component C-like 3 (bacterial) [Source:HGNC Symbol;Acc:24767]
ENSG00000184838,chr5,119799973,120023027,2281,+,35.51,q23.1,protein_coding,PRR16,proline rich 16 [Source:HGNC Symbol;Acc:29654]
ENSG00000121064,chr17,55055466,55084129,3853,+,45.31,q22,protein_coding,SCPEP1,serine carboxypeptidase 1 [Source:HGNC Symbol;Acc:29507]
ENSG00000164897,chr7,150778167,150780633,2005,-,67.61,q36.1,protein_coding,TMUB1,transmembrane and ubiquitin-like domain containing 1 [Source:HGNC Symbol;Acc:21709]
ENSG00000179218,chr19,13049392,13055303,2714,+,53.01,p13.2,protein_coding,CALR,calreticulin [Source:HGNC Symbol;Acc:1455]
ENSG00000075643,chr18,33767482,33852120,6281,+,42.76,q12.2,protein_coding,MOCOS,molybdenum cofactor sulfurase [Source:HGNC Symbol;Acc:18234]
ENSG00000167183,chr17,46029333,46035244,1519,-,52.01,q21.32,protein_coding,PRR15L,proline rich 15-like [Source:HGNC Symbol;Acc:28149]
ENSG00000167491,chr19,19496635,19619740,7296,+,50.87,p13.11,protein_coding,GATAD2A,GATA zinc finger domain containing 2A [Source:HGNC Symbol;Acc:29989]
ENSG00000180638,chr17,19581601,19622292,6691,-,47.45,p11.2,protein_coding,SLC47A2,"solute carrier family 47 (multidrug and toxin extrusion), member 2 [Source:HGNC Symbol;Acc:26439]"
ENSG00000133110,chr13,38136720,38172981,5464,-,32.94,q13.3,protein_coding,POSTN,"periostin, osteoblast specific factor [Source:HGNC Symbol;Acc:16953]"
ENSG00000009724,chr1,11086580,11107290,4251,-,50.21,p36.22,protein_coding,MASP2,mannan-binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:6902]
ENSG00000130024,chr6,170104001,170124151,5388,-,37.06,q27,protein_coding,PHF10,PHD finger protein 10 [Source:HGNC Symbol;Acc:18250]
ENSG00000144560,chr3,11597544,11762220,6698,-,44.37,p25.3,protein_coding,VGLL4,vestigial like 4 (Drosophila) [Source:HGNC Symbol;Acc:28966]
ENSG00000150995,chr3,4535032,4889524,12902,+,42.9,p26.1,protein_coding,ITPR1,"inositol 1,4,5-trisphosphate receptor, type 1 [Source:HGNC Symbol;Acc:6180]"
ENSG00000114554,chr3,126707437,126756235,10944,+,61.75,q21.3,protein_coding,PLXNA1,plexin A1 [Source:HGNC Symbol;Acc:9099]
ENSG00000134463,chr10,11784365,11806069,2185,+,47.51,p14,protein_coding,ECHDC3,enoyl CoA hydratase domain containing 3 [Source:HGNC Symbol;Acc:23489]
ENSG00000159346,chr1,202909951,202927700,3193,-,44.28,q32.1,protein_coding,ADIPOR1,adiponectin receptor 1 [Source:HGNC Symbol;Acc:24040]
ENSG00000174720,chr4,113558120,113578748,4083,+,37.92,q25,protein_coding,LARP7,"La ribonucleoprotein domain family, member 7 [Source:HGNC Symbol;Acc:24912]"
ENSG00000122033,chr13,28009776,28024739,1592,-,42.64,q12.2,protein_coding,MTIF3,mitochondrial translational initiation factor 3 [Source:HGNC Symbol;Acc:29788]
ENSG00000173451,chr12,72056789,72074419,6527,+,37.49,q21.1,protein_coding,THAP2,"THAP domain containing, apoptosis associated protein 2 [Source:HGNC Symbol;Acc:20854]"
ENSG00000160161,chr19,19649057,19657468,4360,+,64.23,p13.11,protein_coding,CILP2,cartilage intermediate layer protein 2 [Source:HGNC Symbol;Acc:24213]
ENSG00000163681,chr3,57741177,57914895,14147,+,38.95,p14.3,protein_coding,SLMAP,sarcolemma associated protein [Source:HGNC Symbol;Acc:16643]
ENSG00000151502,chr11,134094539,134117686,6483,+,48.4,q25,protein_coding,VPS26B,vacuolar protein sorting 26 homolog B (S. pombe) [Source:HGNC Symbol;Acc:28119]
ENSG00000197380,chr19,47150869,47164395,5361,-,54.79,q13.32,protein_coding,DACT3,dishevelled-binding antagonist of beta-catenin 3 [Source:HGNC Symbol;Acc:30745]
ENSG00000166173,chr15,71123863,71146498,3160,-,44.57,q23,protein_coding,LARP6,"La ribonucleoprotein domain family, member 6 [Source:HGNC Symbol;Acc:24012]"
ENSG00000144589,chr2,220462582,220481173,5694,+,53.34,q35,protein_coding,STK11IP,serine/threonine kinase 11 interacting protein [Source:HGNC Symbol;Acc:19184]
ENSG00000076108,chr12,56989380,57030600,10918,-,48.64,q13.3,protein_coding,BAZ2A,"bromodomain adjacent to zinc finger domain, 2A [Source:HGNC Symbol;Acc:962]"
ENSG00000249915,chr5,271736,353971,9493,+,50.84,p15.33,protein_coding,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:8765]
ENSG00000128039,chr4,56212276,56239263,4420,+,44.77,q12,protein_coding,SRD5A3,steroid 5 alpha-reductase 3 [Source:HGNC Symbol;Acc:25812]
ENSG00000170745,chr2,18059114,18542882,3131,+,39.79,p24.2,protein_coding,KCNS3,"potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3 [Source:HGNC Symbol;Acc:6302]"
ENSG00000162396,chr1,55222571,55230187,2347,-,49.77,p32.3,protein_coding,PARS2,"prolyl-tRNA synthetase 2, mitochondrial (putative) [Source:HGNC Symbol;Acc:30563]"
ENSG00000118420,chr6,83602117,83775560,6394,-,38.49,q14.1,protein_coding,UBE3D,ubiquitin protein ligase E3D [Source:HGNC Symbol;Acc:21381]
ENSG00000196666,chr11,47608198,47610746,1435,+,58.53,p11.2,protein_coding,FAM180B,"family with sequence similarity 180, member B [Source:HGNC Symbol;Acc:34451]"
ENSG00000205208,chr4,159587831,159593407,3730,-,41.13,q32.1,protein_coding,C4orf46,chromosome 4 open reading frame 46 [Source:HGNC Symbol;Acc:27320]
ENSG00000171843,chr9,20341663,20622542,8129,-,37.12,p21.3,protein_coding,MLLT3,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3 [Source:HGNC Symbol;Acc:7136]"
ENSG00000177301,chr1,111136202,111174096,4013,-,46.86,p13.3,protein_coding,KCNA2,"potassium voltage-gated channel, shaker-related subfamily, member 2 [Source:HGNC Symbol;Acc:6220]"
ENSG00000006606,chr7,75398851,75419214,706,-,48.09,q11.23,protein_coding,CCL26,chemokine (C-C motif) ligand 26 [Source:HGNC Symbol;Acc:10625]
ENSG00000172361,chr18,47753563,47792892,1851,-,41.2,q21.1,protein_coding,CCDC11,coiled-coil domain containing 11 [Source:HGNC Symbol;Acc:26530]
ENSG00000153162,chr6,7727030,7881655,2780,+,43.38,p24.3,protein_coding,BMP6,bone morphogenetic protein 6 [Source:HGNC Symbol;Acc:1073]
ENSG00000176102,chr11,33098734,33183917,4517,-,37.22,p13,protein_coding,CSTF3,"cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa [Source:HGNC Symbol;Acc:2485]"
ENSG00000114030,chr3,122140796,122233792,8451,-,38.27,q21.1,protein_coding,KPNA1,karyopherin alpha 1 (importin alpha 5) [Source:HGNC Symbol;Acc:6394]
ENSG00000164946,chr9,14734664,14910993,10765,-,39.39,p22.3,protein_coding,FREM1,FRAS1 related extracellular matrix 1 [Source:HGNC Symbol;Acc:23399]
ENSG00000175182,chr3,184053714,184064063,6597,+,56.43,q27.1,protein_coding,FAM131A,"family with sequence similarity 131, member A [Source:HGNC Symbol;Acc:28308]"
ENSG00000175866,chr17,79008948,79091232,10262,+,60.68,q25.3,protein_coding,BAIAP2,BAI1-associated protein 2 [Source:HGNC Symbol;Acc:947]
ENSG00000138785,chr4,106603784,106817143,3895,-,36.56,q24,protein_coding,INTS12,integrator complex subunit 12 [Source:HGNC Symbol;Acc:25067]
ENSG00000167981,chr16,3486104,3493542,1831,-,45.38,p13.3,protein_coding,ZNF597,zinc finger protein 597 [Source:HGNC Symbol;Acc:26573]
ENSG00000079432,chr19,42772689,42799949,9494,+,61.52,q13.2,protein_coding,CIC,capicua transcriptional repressor [Source:HGNC Symbol;Acc:14214]
ENSG00000136045,chr12,108079509,108106944,2876,+,40.59,q23.3,protein_coding,PWP1,PWP1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:17015]
ENSG00000164122,chr4,177134824,177198722,4064,-,36.68,q34.2,protein_coding,ASB5,ankyrin repeat and SOCS box containing 5 [Source:HGNC Symbol;Acc:17180]
ENSG00000185262,chr17,74261283,74267375,1792,+,58.44,q25.1,protein_coding,UBALD2,UBA-like domain containing 2 [Source:HGNC Symbol;Acc:28438]
ENSG00000145428,chr4,154631277,154681387,4390,-,41.13,q31.3,protein_coding,RNF175,ring finger protein 175 [Source:HGNC Symbol;Acc:27735]
ENSG00000177119,chr12,45609770,45834187,8235,+,39.44,q12,protein_coding,ANO6,anoctamin 6 [Source:HGNC Symbol;Acc:25240]
ENSG00000002587,chr4,11394774,11431389,8166,-,43.92,p15.33,protein_coding,HS3ST1,heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5194]
ENSG00000137601,chr4,170314426,170533780,7755,-,37.08,q33,protein_coding,NEK1,NIMA-related kinase 1 [Source:HGNC Symbol;Acc:7744]
ENSG00000131165,chr16,89710839,89724253,3208,-,58.66,q24.3,protein_coding,CHMP1A,charged multivesicular body protein 1A [Source:HGNC Symbol;Acc:8740]
ENSG00000213937,chr16,3062457,3064506,2050,+,64.49,p13.3,protein_coding,CLDN9,claudin 9 [Source:HGNC Symbol;Acc:2051]
ENSG00000172687,chr19,21541732,21562104,3905,+,40.08,p12,protein_coding,ZNF738,zinc finger protein 738 [Source:HGNC Symbol;Acc:32469]
ENSG00000198203,chr2,108905095,108926371,8399,+,44.42,q12.3,protein_coding,SULT1C2,"sulfotransferase family, cytosolic, 1C, member 2 [Source:HGNC Symbol;Acc:11456]"
ENSG00000177599,chr19,11908482,11920437,3032,+,44.18,p13.2,protein_coding,ZNF491,zinc finger protein 491 [Source:HGNC Symbol;Acc:23706]
ENSG00000186431,chr19,55385704,55401838,2366,+,47.98,q13.42,protein_coding,FCAR,"Fc fragment of IgA, receptor for [Source:HGNC Symbol;Acc:3608]"
ENSG00000198556,chr7,99070464,99101273,6683,+,47.78,q22.1,protein_coding,ZNF789,zinc finger protein 789 [Source:HGNC Symbol;Acc:27801]
ENSG00000105486,chr19,48618702,48673860,6572,-,51.48,q13.33,protein_coding,LIG1,"ligase I, DNA, ATP-dependent [Source:HGNC Symbol;Acc:6598]"
ENSG00000172534,chrX,153213004,153237258,9004,-,59.51,q28,protein_coding,HCFC1,host cell factor C1 (VP16-accessory protein) [Source:HGNC Symbol;Acc:4839]
ENSG00000091436,chr2,173940163,174132738,13799,+,38.91,q31.1,protein_coding,MLTK,Mitogen-activated protein kinase kinase kinase MLT  [Source:UniProtKB/Swiss-Prot;Acc:Q9NYL2]
ENSG00000107643,chr10,49514698,49647403,9613,+,37.34,q11.22,protein_coding,MAPK8,mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:6881]
ENSG00000148814,chr10,134145614,134195010,11541,+,51.68,q26.3,protein_coding,LRRC27,leucine rich repeat containing 27 [Source:HGNC Symbol;Acc:29346]
ENSG00000116741,chr1,192778169,192781403,2086,+,40.83,q31.2,protein_coding,RGS2,"regulator of G-protein signaling 2, 24kDa [Source:HGNC Symbol;Acc:9998]"
ENSG00000116285,chr1,8064464,8086368,4186,-,42.8,p36.23,protein_coding,ERRFI1,ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:18185]
ENSG00000167861,chr17,72946838,72969261,6196,-,58.04,q25.1,protein_coding,HID1,HID1 domain containing [Source:HGNC Symbol;Acc:15736]
ENSG00000100767,chr14,73704205,73741348,7699,+,55.23,q24.2,protein_coding,PAPLN,"papilin, proteoglycan-like sulfated glycoprotein [Source:HGNC Symbol;Acc:19262]"
ENSG00000127022,chr5,179105629,179157926,6235,+,45.8,q35.3,protein_coding,CANX,calnexin [Source:HGNC Symbol;Acc:1473]
ENSG00000161914,chr19,11594242,11616738,3301,-,55.67,p13.2,protein_coding,ZNF653,zinc finger protein 653 [Source:HGNC Symbol;Acc:25196]
ENSG00000196544,chr17,8091652,8093564,1913,-,65.71,p13.1,protein_coding,C17orf59,chromosome 17 open reading frame 59 [Source:HGNC Symbol;Acc:25939]
ENSG00000150540,chr2,138721590,138773930,4752,+,36.83,q22.1,protein_coding,HNMT,histamine N-methyltransferase [Source:HGNC Symbol;Acc:5028]
ENSG00000144674,chr3,37284668,37408242,10723,+,37.82,p22.2,protein_coding,GOLGA4,golgin A4 [Source:HGNC Symbol;Acc:4427]
ENSG00000016402,chr6,137321108,137366298,4673,-,41.2,q23.3,protein_coding,IL20RA,"interleukin 20 receptor, alpha [Source:HGNC Symbol;Acc:6003]"
ENSG00000162144,chr11,61116217,61129771,10597,-,52.14,q12.2,protein_coding,CYB561A3,"cytochrome b561 family, member A3 [Source:HGNC Symbol;Acc:23014]"
ENSG00000149294,chr11,112831997,113149158,12768,+,41.71,q23.2,protein_coding,NCAM1,neural cell adhesion molecule 1 [Source:HGNC Symbol;Acc:7656]
ENSG00000125459,chr1,155579979,155718153,5359,+,45.17,q22,protein_coding,MSTO1,"misato 1, mitochondrial distribution and morphology regulator [Source:HGNC Symbol;Acc:29678]"
ENSG00000241404,chr6,32132360,32136058,2621,+,55.93,p21.32,protein_coding,EGFL8,"EGF-like-domain, multiple 8 [Source:HGNC Symbol;Acc:13944]"
ENSG00000109083,chr17,26655352,26662515,3226,-,47.78,q11.2,protein_coding,IFT20,intraflagellar transport 20 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:30989]
ENSG00000070808,chr5,149599054,149669854,6150,-,52.11,q32,protein_coding,CAMK2A,calcium/calmodulin-dependent protein kinase II alpha [Source:HGNC Symbol;Acc:1460]
ENSG00000076944,chr19,7701767,7712759,5301,+,61.17,p13.2,protein_coding,STXBP2,syntaxin binding protein 2 [Source:HGNC Symbol;Acc:11445]
ENSG00000130528,chr19,49654455,49658681,2685,-,57.87,q13.33,protein_coding,HRC,histidine rich calcium binding protein [Source:HGNC Symbol;Acc:5178]
ENSG00000063180,chr19,49141199,49149569,2075,-,53.83,q13.33,protein_coding,CA11,carbonic anhydrase XI [Source:HGNC Symbol;Acc:1370]
ENSG00000126254,chr19,36119932,36128588,2206,+,53.79,q13.12,protein_coding,RBM42,RNA binding motif protein 42 [Source:HGNC Symbol;Acc:28117]
ENSG00000189114,chr19,45682003,45685059,2666,+,59.54,q13.32,protein_coding,BLOC1S3,"biogenesis of lysosomal organelles complex-1, subunit 3 [Source:HGNC Symbol;Acc:20914]"
ENSG00000108352,chr17,38333263,38351908,5710,+,54.16,q21.1,protein_coding,RAPGEFL1,Rap guanine nucleotide exchange factor (GEF)-like 1 [Source:HGNC Symbol;Acc:17428]
ENSG00000157827,chr2,153191751,153506348,6519,+,40.57,q23.3,protein_coding,FMNL2,formin-like 2 [Source:HGNC Symbol;Acc:18267]
ENSG00000205476,chr14,99977603,100070363,6363,-,57.01,q32.2,protein_coding,CCDC85C,coiled-coil domain containing 85C [Source:HGNC Symbol;Acc:35459]
ENSG00000120910,chr8,22298332,22398652,2896,+,39.2,p21.3,protein_coding,PPP3CC,"protein phosphatase 3, catalytic subunit, gamma isozyme [Source:HGNC Symbol;Acc:9316]"
ENSG00000006453,chr7,97920963,98030380,4798,-,46.77,q22.1,protein_coding,BAIAP2L1,BAI1-associated protein 2-like 1 [Source:HGNC Symbol;Acc:21649]
ENSG00000040608,chr22,20228938,20270769,3339,-,60.45,q11.21,protein_coding,RTN4R,reticulon 4 receptor [Source:HGNC Symbol;Acc:18601]
ENSG00000175489,chr19,18501954,18508427,2415,-,54.8,p13.11,protein_coding,LRRC25,leucine rich repeat containing 25 [Source:HGNC Symbol;Acc:29806]
ENSG00000143727,chr2,264140,278283,4160,+,42.67,p25.3,protein_coding,ACP1,"acid phosphatase 1, soluble [Source:HGNC Symbol;Acc:122]"
ENSG00000184307,chr3,113666748,113684248,7138,+,43.72,q13.31,protein_coding,ZDHHC23,"zinc finger, DHHC-type containing 23 [Source:HGNC Symbol;Acc:28654]"
ENSG00000213563,chr8,145751117,145754516,3001,-,67.88,q24.3,protein_coding,C8orf82,chromosome 8 open reading frame 82 [Source:HGNC Symbol;Acc:33826]
ENSG00000175581,chr11,73498361,73576178,4386,+,43.35,q13.4,protein_coding,MRPL48,mitochondrial ribosomal protein L48 [Source:HGNC Symbol;Acc:16653]
ENSG00000075151,chr1,21132963,21503377,8353,-,39.36,p36.12,protein_coding,EIF4G3,"eukaryotic translation initiation factor 4 gamma, 3 [Source:HGNC Symbol;Acc:3298]"
ENSG00000080371,chr12,72148654,72184699,6670,+,37.14,q21.1,protein_coding,RAB21,"RAB21, member RAS oncogene family [Source:HGNC Symbol;Acc:18263]"
ENSG00000173933,chr11,66384097,66434153,5821,+,46.66,q13.2,protein_coding,RBM4,RNA binding motif protein 4 [Source:HGNC Symbol;Acc:9901]
ENSG00000197375,chr5,131705444,131731306,12788,+,48.32,q31.1,protein_coding,SLC22A5,"solute carrier family 22 (organic cation/carnitine transporter), member 5 [Source:HGNC Symbol;Acc:10969]"
